尼 35974 
尽 50526 
尾 11767 
尿 7144 
局 243933 
屁 1044 
层 84282 
居 99784 
屈 4375 
屉 681 
届 77320 
屋 27545 
屎 356 
屏 12383 
屐 11 
屑 676 
展 505750 
屙 5 
属 76196 
屠 2525 
屡 4982 
屣 7 
履 20585 
屯 1546 
山 202372 
屹 627 
屺 4 
屿 1807 
岁 79308 
岂 1054 
岈 2 
岌 218 
岍 1 
岐 2184 
岑 703 
岔 734 
岖 226 
岗 33199 
岘 106 
岙 92 
岚 1428 
岛 40091 
岜 3 
岢 9 
岣 15 
岩 8920 
岫 49 
岬 36 
岭 10428 
岱 698 
岳 17945 
岵 10 
岷 358 
岸 34602 
岽 11 
岿 65 
峁 90 
峄 22 
峋 55 
峒 158 
峙 796 
峡 10882 
峤 27 
峥 962 
峦 284 
峨 1154 
峪 1067 
峭 440 
峰 46888 
峻 4861 
崂 180 
崃 275 
崆 83 
崇 7374 
崎 1145 
崔 5858 
崖 2357 
崛 3534 
崞 3 
崤 3 
崦 10 
崧 83 
崩 2268 
崭 1753 
崮 86 
崴 130 
崽 357 
崾 19 
嵇 84 
嵊 148 
嵋 42 
嵌 1141 
嵘 423 
嵛 10 
嵝 15 
嵩 510 
嵫 3 
嵬 84 
嵯 19 
嵴 12 
嶂 129 
嶙 59 
嶝 22 
嶷 61 
巅 1066 
巍 1980 
川 51080 
州 211329 
巡 46855 
巢 2777 
工 659099 
左 41280 
巧 9062 
巨 29247 
巩 5439 
巫 1388 
差 35771 
巯 3 
己 123726 
已 252318 
巳 110 
巴 64027 
巷 5586 
巽 149 
巾 3590 
币 32269 
市 770916 
布 153085 
帅 7240 
帆 5005 
师 132696 
希 64478 
帏 6 
帐 1896 
帑 26 
帔 10 
帕 3690 
帖 3911 
帘 1293 
帙 60 
帚 259 
帛 178 
帜 2962 
帝 6979 
带 156054 
帧 211 
席 72686 
帮 61582 
帷 2666 
常 198970 
帻 1 
帼 809 
帽 4865 
幂 301 
幄 133 
幅 34588 
幌 533 
幔 36 
幕 36541 
幛 6 
幡 150 
幢 1568 
干 126804 
平 345859 
年 1059252 
并 254982 
幸 26248 
幺 192 
幻 5396 
幼 20189 
幽 2440 
广 265132 
庄 19208 
庆 74552 
庇 989 
床 17773 
庋 5 
序 44424 
庐 1706 
庑 9 
库 40676 
应 237453 
底 70749 
庖 111 
店 73821 
庙 7716 
庚 1940 
府 155441 
庞 4924 
废 17896 
庠 11 
庥 7 
度 321179 
座 45526 
庭 73669 
庵 367 
庶 189 
康 83691 
庸 2417 
庹 32 
庾 151 
廉 21627 
廊 7599 
廒 1 
廓 618 
廖 5133 
廨 7 
廪 25 
延 36807 
廷 3875 
建 495513 
廿 244 
开 540854 
弁 1 
异 29940 
弃 15480 
弄 5254 
弈 1533 
弊 4249 
弋 307 
式 219797 
弑 104 
弓 952 
引 133812 
弗 3467 
弘 8083 
弛 451 
